No;Instansi;Formasi;Pendaftar;Submit;MS;TMS
516;Pemerintah Provinsi Kep. Bangka Belitung;40;1764;1682;1160;522
517;Pemerintah Provinsi Kepulauan Riau;111;2944;2786;2352;433
518;Pemerintah Provinsi Lampung;554;6237;5940;5086;854
519;Pemerintah Provinsi Maluku;158;1422;1335;1176;159
520;Pemerintah Provinsi Maluku Utara;590;5178;4959;4110;490
521;Pemerintah Provinsi NTT;2571;17704;16718;14069;2649
522;Pemerintah Provinsi Nusa Tenggara Barat;140;4725;4388;3923;465
523;Pemerintah Provinsi Papua Barat Daya;1088;12787;11941;8963;1279
524;Pemerintah Provinsi Papua Pegunungan;1000;9308;8938;1304;471
525;Pemerintah Provinsi Papua Selatan;1000;13702;12909;4111;1043
526;Pemerintah Provinsi Papua Tengah;950;10738;10172;7382;1407
527;Pemerintah Provinsi Riau;80;3200;2799;2105;694
528;Pemerintah Provinsi Sulawesi Barat;23;148;132;108;24
529;Pemerintah Provinsi Sulawesi Selatan;6;179;150;120;30
530;Pemerintah Provinsi Sulawesi Tengah;540;10672;9877;9387;490
531;Pemerintah Provinsi Sulawesi Tenggara;1509;24246;23220;22296;924
532;Pemerintah Provinsi Sumatera Barat;424;9079;8436;7265;1171
533;Pemerintah Provinsi Sumatera Selatan;185;4392;4025;3668;357
534;Pemerintah Provinsi Sumatera Utara;851;12122;11143;8251;2816
535;Perpustakaan Nasional RI;155;4271;3994;3527;466
536;Sekretariat Jenderal Dewan Nasional Kawasan Ekonomi Khusus;150;2152;2034;1682;352
537;Sekretariat Jenderal DPR RI;302;6254;5831;4882;949
538;Sekretariat Jenderal Komisi Yudisial;145;1045;890;668;222
539;Sekretariat Jenderal MPR;25;548;490;433;57
540;Setjen Dewan Perwakilan Daerah;230;1937;1838;941;897
541;Setjen Komisi Pemilihan Umum;3278;30776;29806;22195;7611
542;Setjen KOMNAS HAM;38;507;448;388;60
543;Setjen WANTANNAS;64;896;820;591;110
