No;Instansi;Formasi;Pendaftar;Submit;MS;TMS
184;Pemerintah Kab. Karanganyar;181;5912;5605;4824;781
185;Pemerintah Kab. Karangasem;172;1105;1043;818;225
186;Pemerintah Kab. Karawang;294;11802;10154;9038;1116
187;Pemerintah Kab. Karimun;116;2538;2339;1284;1055
188;Pemerintah Kab. Karo;50;1325;1202;906;296
189;Pemerintah Kab. Katingan;201;1152;1112;1043;69
190;Pemerintah Kab. Kaur;110;966;915;722;161
191;Pemerintah Kab. Kayong Utara;270;4454;4139;3268;871
192;Pemerintah Kab. Kebumen;335;7229;6790;5682;1108
193;Pemerintah Kab. Kediri;150;4593;4258;3308;950
194;Pemerintah Kab. Keerom;850;4715;4429;6;0
195;Pemerintah Kab. Kendal;659;13114;12397;10052;2345
196;Pemerintah Kab. Kep. Mentawai;40;259;233;185;48
197;Pemerintah Kab. Kepulauan Anambas;158;1838;1733;1559;174
198;Pemerintah Kab. Kepulauan Aru;520;2524;2418;2087;331
199;Pemerintah Kab. Kepulauan Meranti;225;3785;3445;2193;1205
200;Pemerintah Kab. Kepulauan Sangihe;203;1324;1266;979;287
201;Pemerintah Kab. Kepulauan Selayar;50;748;709;591;118
202;Pemerintah Kab. Kepulauan Siau Tagulandang Biaro;171;787;759;669;57
203;Pemerintah Kab. Kepulauan Sula;100;818;796;562;234
204;Pemerintah Kab. Kepulauan Talaud;39;365;354;272;82
205;Pemerintah Kab. Kepulauan Tanimbar;409;1796;1706;1430;276
206;Pemerintah Kab. Kepulauan Yapen;196;810;764;634;86
207;Pemerintah Kab. Kerinci;450;7578;6837;4614;2223
208;Pemerintah Kab. Ketapang;150;1529;1437;1204;233
209;Pemerintah Kab. Klaten;25;981;913;812;101
210;Pemerintah Kab. Klungkung;203;2082;1982;1794;188
211;Pemerintah Kab. Kolaka;96;979;916;781;135
212;Pemerintah Kab. Kolaka Timur;85;1438;1308;1076;96
213;Pemerintah Kab. Kolaka Utara;60;955;897;761;136
214;Pemerintah Kab. Konawe;300;3363;3258;2638;620
215;Pemerintah Kab. Konawe Kepulauan;200;2900;2765;1999;766
216;Pemerintah Kab. Konawe Selatan;239;1873;1704;1611;93
217;Pemerintah Kab. Konawe Utara;100;840;783;570;213
218;Pemerintah Kab. Kotabaru;1253;6829;6410;5564;846
219;Pemerintah Kab. Kotawaringin Barat;160;2086;1847;1462;385
220;Pemerintah Kab. Kotawaringin Timur;255;3713;3336;2552;784
221;Pemerintah Kab. Kuantan Singingi;200;6062;5626;4788;833
222;Pemerintah Kab. Kubu Raya;35;1194;1119;878;241
223;Pemerintah Kab. Kudus;50;1695;1576;1365;211
224;Pemerintah Kab. Kulon Progo;90;2264;2115;1808;307
225;Pemerintah Kab. Kupang;600;2194;2028;1618;410
226;Pemerintah Kab. Kutai Barat;273;2885;2664;1102;1562
227;Pemerintah Kab. Kutai Timur;280;4420;3921;2541;1380
228;Pemerintah Kab. Labuhanbatu;35;1170;1044;708;336
229;Pemerintah Kab. Labuhanbatu Selatan;122;2383;2257;1824;433
230;Pemerintah Kab. Labuhanbatu Utara;621;9109;8569;6437;1958
231;Pemerintah Kab. Lahat;932;15194;14118;6357;7761
232;Pemerintah Kab. Lamandau;475;1428;1374;1222;152
233;Pemerintah Kab. Lamongan;615;12406;11376;10141;1235
234;Pemerintah Kab. Lampung Selatan;52;1279;1141;1013;128
235;Pemerintah Kab. Lampung Tengah;62;1595;1462;1167;295
236;Pemerintah Kab. Lampung Timur;100;1412;1338;1234;104
237;Pemerintah Kab. Lampung Utara;27;352;313;282;31
238;Pemerintah Kab. Landak;401;5159;4893;3697;1034
239;Pemerintah Kab. Langkat;100;1793;1685;1382;303
240;Pemerintah Kab. Lanny Jaya;79;352;336;233;103
241;Pemerintah Kab. Lebak;84;1959;1742;1669;73
242;Pemerintah Kab. Lebong;600;9019;8533;5774;2758
243;Pemerintah Kab. Lembata;1500;9152;8788;7656;660
244;Pemerintah Kab. Limapuluh Kota;275;9685;9136;8183;953
245;Pemerintah Kab. Lingga;540;5173;4897;4102;795
246;Pemerintah Kab. Lombok Barat;80;2249;2093;1677;416
247;Pemerintah Kab. Lombok Timur;100;3716;3358;2734;624
248;Pemerintah Kab. Lombok Utara;60;1756;1636;1484;152
249;Pemerintah Kab. Lumajang;107;5107;4562;3400;1162
250;Pemerintah Kab. Luwu;17;370;333;256;77
251;Pemerintah Kab. Luwu Timur;934;21801;20564;15631;2861
252;Pemerintah Kab. Madiun;100;2381;2207;1926;281
253;Pemerintah Kab. Magelang;250;10746;9907;8092;1815
254;Pemerintah Kab. Magetan;250;3306;3204;2647;557
255;Pemerintah Kab. Mahakam Ulu;434;1448;1257;498;363
256;Pemerintah Kab. Majalengka;497;16055;14314;12097;2217
257;Pemerintah Kab. Majene;40;889;834;698;136
258;Pemerintah Kab. Malaka;806;10055;9742;9233;499
259;Pemerintah Kab. Malinau;65;1005;968;787;181
260;Pemerintah Kab. Maluku Barat Daya;1081;3941;3776;2128;1648
261;Pemerintah Kab. Maluku Tengah;547;3250;3045;2714;331
262;Pemerintah Kab. Maluku Tenggara;471;3088;2942;1265;466
263;Pemerintah Kab. Mamasa;90;1002;935;785;149
264;Pemerintah Kab. Mamberamo Raya;750;2475;2390;1015;77
265;Pemerintah Kab. Mamberamo Tengah;500;1662;1609;1160;108
266;Pemerintah Kab. Mamuju Tengah;221;3175;2986;2507;479
267;Pemerintah Kab. Mandailing Natal;422;4215;4036;2161;1359
268;Pemerintah Kab. Manggarai;1222;7283;6914;6035;879
269;Pemerintah Kab. Manggarai Barat;751;6411;5955;5032;923
270;Pemerintah Kab. Manggarai Timur;400;3935;3710;3339;371
271;Pemerintah Kab. Manokwari Selatan;400;2384;2261;2117;144
272;Pemerintah Kab. Mappi;150;2581;2461;2385;76
273;Pemerintah Kab. Melawi;223;2262;2136;1830;306
274;Pemerintah Kab. Mempawah;51;734;683;565;118
275;Pemerintah Kab. Merangin;300;7450;6840;3124;2230
276;Pemerintah Kab. Mesuji;63;1456;1315;1042;257
277;Pemerintah Kab. Mimika;847;6553;5933;4581;660
